Year,Movie,Won?,Budget,Opening Weekend,IMDB Rating,Genres,Won Golden Globe,Won Bafta,Oscar Nominations,Golden Globe Nominations,Bafta Nominations,IMdB id,Won Producers,Won Directors,Won Actors,Rate,Metascore
2016,Arrival,0,47000000,24000000,8.1,"Drama, Mystery, Sci-Fi, Thriller",0,0,8,2,9,tt2543164,0,0,0,PG-13,81
2016,Fences,0,24000000,129462,7.5,Drama,0,0,4,2,1,tt2671706,0,0,0,PG-13,79
2016,Hacksaw Ridge,0,40000000,15190758,8.3,"Drama, History, War",0,0,6,3,5,tt2119532,0,0,0,R,71
2016,Hell or High Water,0,12000000,621329,7.7,"Action, Crime, Drama, Western",0,0,4,3,3,tt2582782,0,0,0,R,88
2016,Hidden Figures,0,25000000,515499,7.9,"Biography, Drama, History",0,0,3,2,1,tt4846340,0,0,1,PG,74
2016,La La Land,0,30000000,4102091,8.5,"Comedy, Drama, Musical, Romance",1,1,14,7,11,tt3783958,1,1,0,PG-13,93
2016,Lion,0,12000000,159148,8,Drama,0,0,6,4,5,tt3741834,0,0,0,PG-13,69
2016,Manchester by the Sea,0,8500000,256498,8.1,Drama,0,0,6,5,6,tt4034228,0,0,0,R,96
2016,Moonlight,1,5000000,402075,8,Drama,1,0,8,6,4,tt4975722,0,0,0,R,99
2015,Spotlight,1,20000000,295009,8.1,"Crime, Drama, History",0,0,6,3,3,tt1895587,0,0,1,R,93
2015,The Big Short,0,28000000,10531026,7.8,"Biography, Comedy, Drama, History",0,0,5,4,5,tt1596363,1,0,0,R,81
2015,Bridge of Spies,0,40000000,15371203,7.6,"Drama, History, Thriller",0,0,6,1,9,tt3682448,0,0,0,PG-13,81
2015,Brooklyn,0,11000000,187281,7.5,"Drama, Romance",0,0,3,1,6,tt2381111,0,0,0,PG-13,87
2015,Mad Max: Fury Road,0,150000000,45428128,8.1,"Action, Adventure, Sci-Fi, Thriller",0,0,10,2,7,tt1392190,0,0,0,R,90
2015,The Martian,0,108000000,54308575,8.1,"Adventure, Drama, Sci-Fi",1,0,7,3,6,tt3659388,0,0,0,PG-13,80
2015,The Revenant,0,135000000,38000000,8,"Adventure, Drama, Thriller, Western",1,1,12,4,8,tt1663202,0,1,0,R,76
2015,Room,0,13000000,1335563,8.2,Drama,0,0,4,3,2,tt3170832,0,0,0,R,86
2014,Birdman or (The Unexpected Virtue of Ignorance),1,18000000,2471471,7.8,"Comedy, Drama, Romance",0,0,10,7,10,tt2562232,1,1,1,R,88
